run_ID,max_flow,min_flow
ID1162,125.6108103232,51.3393699353
ID1163,118.5817649764,51.6872444652
ID1164,139.8164326804,59.0969624457
ID1165,125.6769338132,57.6091903561
ID1166,137.0042712685,56.7197633066
ID1167,135.7480545502,50.4687332973
ID1168,121.8262627558,65.5412847062
ID1169,119.2685404871,57.3109291033
ID1170,138.059573324,51.3073984009
ID1171,122.024030636,49.9062112923
ID1172,131.390954321,52.2653382171
ID1173,136.6419965662,48.8287514325
ID1174,124.9653352561,49.7633726767
ID1175,143.0230226898,49.6313090139
ID1176,115.7608744496,60.9546917138
ID1177,122.060970916,60.8405214791
ID1178,132.6714911771,49.7629253137
ID1179,126.1749337362,52.336666113
ID1180,137.5598084659,50.6543318042
ID1181,141.037723137,58.3144782359
ID1182,114.9743246844,56.8635526187
ID1183,114.6343553033,55.6986847731
ID1184,143.9845635391,55.9143172113
ID1185,133.9747320309,49.0342384981
ID1186,148.660669689,53.19867051
ID1187,117.1195012051,57.3003003275
ID1188,120.2702943791,64.0632927638
ID1189,125.0717355184,52.5744146629
ID1190,142.9666144601,57.4930617417
ID1191,123.6242533229,63.9163833782
ID1192,118.0343089496,51.3669684523
ID1193,120.7142781836,51.2823970163
ID1194,119.9850795863,53.3189550103
ID1195,140.388267072,56.621087177
ID1196,123.7504774892,51.0871464253
ID1197,137.533437773,50.0534849331
ID1198,117.4180835868,64.4142043873
ID1199,140.6576203322,56.3771518448
ID1200,130.5243377514,50.9946320861
ID1201,119.2234233692,62.8217578755
ID1202,140.8119655357,49.6797320764
ID1203,117.1382651655,53.8234973983
ID1204,132.8221453808,50.4624369879
ID1205,113.4884194449,58.1280442217
ID1206,125.0504992454,61.2702007197
ID1207,129.0074988471,65.0505286809
ID1208,141.244422178,53.4784646112
ID1209,130.4107765042,52.0296420773
ID1210,134.3471734958,59.5500522926
ID1211,134.8535973379,51.4426969629
ID1212,123.8768701898,62.7117551037
ID1213,120.4810935914,50.6378280663
ID1214,141.4884030397,50.1035553728
ID1215,131.8202384219,63.1543689372
ID1216,134.0011207022,51.5746098921
ID1217,119.9928905736,52.3527390906
ID1218,120.8196900467,64.7711454936
ID1219,139.7141732803,49.6964515554
ID1220,121.3519522232,52.091017594
ID1221,131.8040953617,49.536085489
ID1222,111.5007038484,58.5847414004
ID1223,134.2806593233,53.8586757535
ID1224,138.8978800373,56.3920739299
ID1225,129.3690833173,49.7733812013
ID1226,122.6848938787,50.7858609915
ID1227,148.1323820834,51.2580922779
ID1228,141.1053027999,57.6175221501
ID1229,113.8098721904,53.9560340852
ID1230,143.7181850226,55.3966369965
ID1231,135.0201480917,50.0246682833
ID1232,126.0221009043,65.0581251028
ID1233,120.6786469926,52.7346899482
ID1234,123.6224439432,50.943988783
ID1235,123.9333858766,58.2356530965
ID1236,112.1079998378,59.7102657399
ID1237,109.2861163602,60.2047757132
ID1238,122.9245431122,64.079038915
ID1239,149.6036111008,51.2035947586
ID1240,144.9842182227,51.5825730753
ID1241,124.1804302508,51.8384199969
ID1242,122.6068744133,65.3417574196
ID1243,120.8453581009,53.6700605513
ID1244,143.4719875358,55.3323306847
ID1245,111.0002508889,57.6361618263
ID1246,147.8312855595,53.9689138499
ID1247,114.7160549576,54.5465255241
ID1248,129.082834616,62.6858365799
ID1249,126.2602769696,65.9288395036
ID1250,128.6295099404,49.6784475131
