ID,max_flow,min_flow
ID839,120.4976966697,51.1414475151
ID840,130.3852458438,50.6991051931
ID841,132.3749317882,60.069201645
ID842,113.5881813338,54.6142279404
ID843,141.911901685,51.3646905658
ID844,120.6154016674,51.60752063
ID845,125.6626118713,58.6626042828
ID846,141.6308439446,57.4500204548
ID847,141.4275640211,51.4747991179
ID848,123.2525719116,58.9339493948
ID849,118.824178437,60.5456801261
ID850,133.406958491,49.1504596391
ID851,129.0365258025,54.8263716217
ID852,121.5426815399,51.8176410216
ID853,142.7298933048,56.1329668562
ID854,123.6372990831,50.7918498762
ID855,129.3525988661,48.8977604485
ID856,118.1460790354,55.8246391974
ID857,127.5864196168,50.9234741677
ID858,139.4980836874,52.189170949
ID859,126.6267340223,49.9416712024
ID860,136.6591150746,53.5377663834
ID861,134.6458045034,55.5886038027
ID862,126.2096047175,58.4112234958
ID863,137.7409093473,51.7406814591
ID864,127.4082507405,51.1745918752
ID865,119.893409449,51.3511486188
ID866,122.6208089077,50.8057354105
ID867,121.5638421906,51.5428595752
ID868,130.4487379287,63.9334267922
ID869,130.0403906653,54.8455299411
ID870,136.9074215152,59.8149707799
ID871,135.1490846311,51.8868896943
ID872,116.3333068071,56.4688210372
ID873,119.2291412197,51.1768884784
ID874,138.2588198863,48.9032459804
ID875,139.830788212,52.6281174971
ID876,115.1076247413,58.580049057
ID877,145.5975249197,51.4808721365
ID878,119.5792617156,53.3952203474
ID879,132.8104201507,56.5264473206
ID880,133.2566761687,48.6729503475
ID881,121.5570682857,64.3130135451
ID882,143.657771261,55.2441493327
ID883,115.2641478677,60.864095473
ID884,138.0350841538,51.7490489855
ID885,117.272058239,54.1073745925
ID886,124.6448686159,58.274876508
ID887,135.5880439128,51.65114024
ID888,139.937178652,56.1163081426
ID889,146.5602899799,53.2999457067
ID890,135.71203633,49.4996524862
ID891,128.4572239197,50.1006743891
ID892,135.6851074189,53.148243294
ID893,133.011014055,54.801873994
ID894,124.9183481931,49.7639919201
ID895,126.4660396117,54.6536544494
ID896,131.2513876706,56.0151186141
ID897,117.2510659687,52.5664423255
ID898,127.265203497,49.9433204477
ID899,139.5131297351,49.0045958298
ID900,134.9647625334,55.129458502
ID901,131.0792177098,64.8309473204
ID902,127.0691822952,62.0210884323
ID903,135.5729151252,49.0679252279
ID904,124.6903123637,49.8383287836
ID905,138.093510673,55.5860668205
ID906,141.4706684719,49.8732151452
ID907,137.0668188781,60.8263770977
ID908,121.6310675304,51.3487702257
ID909,128.4884670292,49.782108531
ID910,126.8868301509,51.0642366906
ID911,123.1850953987,60.8066457872
ID912,134.4882489447,49.4391256088
ID913,121.4972666412,63.9988540869
ID914,139.0345109362,53.8524343012
ID915,132.0791989129,63.6942879104
ID916,143.2040388338,52.0701748572
ID917,130.9716537676,51.8142529963
ID918,128.9183669045,64.3805932592
ID919,119.9056475488,65.0950593954
ID920,130.1755542376,62.6641759947
ID921,127.9586807595,50.7093116144
ID922,138.5044077535,49.8862639445
ID923,125.4241066291,50.6509918536
ID924,131.516456871,61.1423831458
ID925,117.2020647376,65.018584144
ID926,117.8516174061,52.0099968701
ID927,139.5418637587,51.3620586307
ID928,117.4236087679,51.9183738059
ID929,125.3429699238,52.5805327374
ID930,140.6563668608,49.2155503711
ID931,117.7969715235,51.5315815856
ID932,134.1533489661,59.3096692465
ID933,138.6778996231,49.3794720787
ID934,131.9122989698,49.8307925728
ID935,131.9873148988,50.6296563198
ID936,113.7216753237,62.2096015053
ID937,141.5858636373,53.1394640385
ID938,145.5636928768,52.7631164645
ID939,134.2657691015,49.0499799494
ID940,140.9393959056,49.2634815462
ID941,112.5759865617,55.410849485
ID942,145.3156551332,54.204833063
ID943,114.7635668189,58.9304061196
ID944,119.6915595824,56.9153583773
ID945,117.1881107255,53.7019911986
ID946,122.9146174715,65.401205604
ID947,119.9206487471,55.1438054383
ID948,125.1972856449,50.4965432763
ID949,144.8036925941,51.6034012419
ID950,115.1058593161,55.3661427564
ID951,135.3071785354,56.7332367949
ID952,122.6020690962,64.1064459778
ID953,132.9961684814,49.3996302123
ID954,143.1490492975,53.8361070671
ID955,143.3877114293,57.1712075452
ID956,129.4816308085,49.1269695214
ID957,132.5396628625,49.9975591158
ID958,143.0622588408,53.7370380498
ID959,130.8748675825,54.0870856336
ID960,124.4866877108,49.8360862638
ID961,120.0160114839,51.6668859081
ID962,131.3829306335,51.316110167
ID963,120.1183186347,52.5113897769
ID964,134.1760823884,56.3511183607
ID965,132.5337495563,49.2757423129
ID966,139.3611165198,50.6802225769
ID967,128.8561459365,57.7936605772
ID968,123.1992505279,51.0452315606
ID969,119.3233314112,51.0104009738
ID970,125.2862833456,51.3947962644
ID971,145.1999353291,53.9048388633
ID972,124.2984920504,50.4687331242
ID973,122.1280476945,51.753532197
ID974,140.680857961,58.4996483553
ID975,137.8433080565,58.4858029687
ID976,131.5782078693,49.5668360303
ID977,137.8927705284,51.5339977
ID978,135.21964485,53.4893112369
ID979,126.3517705498,49.3330459821
ID980,120.8517662228,50.926064306
ID981,136.2915660673,58.0300068502
ID982,119.2348878778,52.8301599441
ID983,126.0570369671,50.4140139436
ID984,131.6859074565,59.3449407168
ID985,118.5342105704,64.9097704039
ID986,122.9298537444,51.5810986046
ID987,136.1572928788,57.7199702298
ID988,134.5365072017,49.663708094
ID989,109.7172703605,59.3164822241
ID990,136.3873186978,50.7760839868
ID991,131.5866365827,57.910216453
ID992,149.4325761977,51.6876392994
ID993,141.6554706155,49.3884237764
ID994,129.0286076806,50.8149862218
ID995,143.1497865212,50.4805991638
ID996,135.6539847158,53.2322322988
ID997,132.9358340948,63.172759033
ID998,146.4782258764,50.3864303358
ID999,136.1531252473,49.93640718
ID1000,122.0785487401,64.25624193
