"run_ID","max_pressure","min_pressure"
"ID668",119.3771771522,51.5049364974
"ID669",123.4716093114,54.8325661413
"ID670",122.9550233617,63.6946216062
"ID671",121.4072430508,51.8332487457
"ID672",143.7766635663,51.2471809625
"ID673",119.5980409815,52.1240288903
"ID674",129.5214222034,63.7612004851
"ID675",119.1168920478,53.3861822396
"ID676",125.3641982388,51.5891409511
"ID677",138.1080036672,51.7611300204
"ID678",142.4927442838,53.7898166927
"ID679",119.0663177195,59.6457073206
"ID680",121.2704022706,53.4796627289
"ID681",143.1681212634,51.860903789
"ID682",140.7112819827,53.0665144545
"ID683",133.0791203689,49.7378044914
"ID684",128.8138105339,49.8723786665
"ID685",140.1625768434,58.5575793316
"ID686",129.480251119,50.0323554596
"ID687",136.2619436326,49.1372304518
"ID688",115.199727498,62.484993725
"ID689",123.6111159245,61.0486653304
"ID690",147.4734065415,51.9424268121
"ID691",139.371929057,56.4715525933
"ID692",142.7416515546,51.0221453504
"ID693",113.6911441196,55.4260264949
"ID694",123.7224092338,49.7781718291
"ID695",118.4108342106,56.9287834432
"ID696",127.7052287162,56.5075867228
"ID697",142.2647047118,55.0659600685
"ID698",134.7498947247,55.7848208789
"ID699",140.7781860156,57.8267723423
"ID700",114.5557916121,63.0433044061
"ID701",126.2369945452,64.7935191466
"ID702",130.3066937011,49.3957226204
"ID703",142.7080352775,51.1681701701
"ID704",126.0021269489,50.0271131128
"ID705",142.9979831344,54.8768219586
"ID706",116.1977687851,56.617336929
"ID707",120.2820001889,65.6504077976
"ID708",141.1537743893,52.4377334076
"ID709",124.3347483298,52.0171150021
"ID710",130.9846588373,54.8429101238
"ID711",142.6762795785,51.0485599546
"ID712",120.2810061357,61.9518308027
"ID713",131.7948257252,64.4339571245
"ID714",138.9395725858,55.4817865764
"ID715",126.4405049245,57.03632827
"ID716",123.6582453492,52.9364953387
"ID717",129.6727335967,49.0409663209
"ID718",128.3885748737,49.171069504
"ID719",128.484236092,52.5350022448
"ID720",141.6888349954,50.915489026
"ID721",136.7844024042,53.6464056045
"ID722",128.7704805712,51.7348150997
"ID723",132.9880571877,49.7297405361
"ID724",148.0323833796,51.1150405943
"ID725",127.0692310548,51.0237255793
"ID726",131.1051040344,51.0834562076
"ID727",142.6148339602,55.8404432604
"ID728",122.9972690538,52.736815024
"ID729",136.9992033564,51.3760431882
"ID730",132.3931187847,48.7806820393
"ID731",131.1932749435,49.8380596894
"ID732",126.8141826577,63.5147086795
"ID733",117.7236717494,53.9291877358
"ID734",123.3930680496,63.8936421817
"ID735",138.7161595217,49.5327047664
"ID736",120.3305415128,50.861542123
"ID737",136.2272475995,48.6750592985
"ID738",144.3887732362,55.1498195706
"ID739",143.3819489108,54.8060556882
"ID740",121.018328095,52.6117050394
"ID741",120.996163315,50.2545212121
"ID742",134.8693197197,53.5878224031
"ID743",136.8110012918,49.8111016132
"ID744",142.3688727735,56.6139191912
"ID745",133.4352024962,62.5833673873
"ID746",121.2118066853,52.282005359
"ID747",135.2931978548,49.8097315125
"ID748",124.0426036637,50.5816232239
"ID749",130.509264216,54.9316705852
"ID750",135.0308491973,61.4180123687
